ID,item_id,item_cnt_month
0,5037,2
1,5320,0
2,5233,2
3,5232,2
4,5268,0
5,5039,2
6,5041,2
7,5046,2
8,5319,2
9,5003,0
10,4806,3
11,4843,2
12,4607,2
13,4869,2
14,4870,2
15,4872,6
16,4874,0
17,4678,2
18,4892,2
19,4964,2
20,4717,2
21,5002,0
22,5823,2
23,5814,2
24,5900,3
25,5907,0
26,5908,0
27,5643,2
28,5657,2
29,5675,7
30,5666,2
31,5668,0
32,5669,2
33,5672,2
34,5653,2
35,5678,2
36,5674,2
37,5671,3
38,5845,2
39,5841,2
40,5840,2
41,5820,3
42,5821,4
43,5822,3
44,5824,2
45,5826,0
46,5827,2
47,5828,2
48,5829,2
49,5837,2
50,5838,2
51,5839,2
52,5459,2
53,5830,2
54,3731,9
55,4719,4
56,3341,2
57,3343,2
58,3350,8
59,3351,4
60,3352,10
61,3364,2
62,3365,2
63,3537,2
64,3538,0
65,3571,0
66,3676,2
67,3677,2
68,3678,2
69,3686,2
70,3604,0
71,3353,5
72,3334,2
73,3331,2
74,3407,0
75,3408,0
76,5962,2
77,3405,0
78,3423,2
79,3442,2
80,3443,2
81,3444,3
82,3445,3
83,3464,2
84,4244,2
85,4248,2
86,4249,2
87,4107,2
88,4351,5
89,4357,2
90,4365,2
91,4367,2
92,4385,2
93,4389,2
94,4479,2
95,4442,2
96,4363,2
97,4240,2
98,4233,2
99,3732,3
100,3733,2
101,3756,2
102,3835,2
103,3837,2
104,3840,2
105,3831,0
106,3898,0
107,3928,2
108,3967,2
109,3984,0
110,4052,2
111,4053,0
112,4054,0
113,4055,0
114,4228,2
115,6062,2
116,8327,0
117,6002,2
118,9355,8
119,9414,2
120,9395,2
121,9397,2
122,9398,2
123,9405,2
124,9407,2
125,9409,3
126,9391,0
127,9035,2
128,9039,0
129,9165,2
130,9469,2
131,9496,0
132,10200,2
133,10201,8
134,9412,2
135,8546,2
136,8547,2
137,8548,0
138,8550,2
139,8551,0
140,8653,2
141,8658,2
142,8690,2
143,8692,2
144,8822,0
145,8823,0
146,8824,0
147,8874,2
148,8890,0
149,9277,0
150,9001,2
151,8699,0
152,10202,17
153,10339,2
154,10352,0
155,10379,2
156,10382,2
157,10385,2
158,10424,2
159,10429,2
160,10447,0
161,10330,2
162,10449,0
163,10659,2
164,10476,2
165,10908,2
166,10515,2
167,10907,2
168,10779,0
169,10904,2
170,10327,2
171,10298,2
172,10149,2
173,10207,2
174,10209,2
175,10210,6
176,10216,2
177,9767,0
178,9863,2
179,9870,2
180,9927,3
181,9964,2
182,9974,0
183,9986,2
184,10064,2
185,10074,0
186,10131,2
187,8366,2
188,8355,0
189,8354,0
190,6506,0
191,6507,2
192,6301,2
193,6615,2
194,6618,2
195,6619,2
196,6676,2
197,6503,2
198,6710,3
199,6729,0
200,6731,0
201,6732,0
202,6083,2
203,6085,2
204,6088,2
205,6152,0
206,6153,0
207,6163,2
208,6185,4
209,6393,2
210,6396,2
211,6226,2
212,6236,2
213,6257,2
214,6426,2
215,6472,2
216,6476,2
217,6496,2
218,6497,2
219,6738,2
220,6064,2
221,6742,0
222,7782,0
223,7789,2
224,7791,4
225,7792,3
226,7836,2
227,7846,0
228,7853,2
229,7462,0
230,7862,0
231,7895,2
232,7948,0
233,7917,2
234,7930,0
235,7931,2
236,7933,2
237,8452,2
238,8456,2
239,7863,2
240,7328,2
241,7187,2
242,7235,0
243,6743,0
244,6335,0
245,6351,2
246,6926,4
247,6928,2
248,7003,2
249,7007,2
250,7029,2
251,7039,2
252,7087,2
253,7172,2
254,7215,2
255,7223,18
256,19657,0
257,15571,2
258,16315,2
259,15740,2
260,15777,2
261,15780,2
262,15786,2
263,16350,0
264,15844,2
265,16788,2
266,16549,0
267,16247,2
268,16629,2
269,16737,2
270,16843,2
271,16946,2
272,16985,2
273,17031,2
274,17717,13
275,16653,0
276,16237,2
277,16205,2
278,15446,2
279,15493,2
280,15496,2
281,15507,2
282,15521,2
283,15552,2
284,16003,2
285,16012,2
286,16047,0
287,16221,2
288,16069,2
289,16091,2
290,16103,0
291,16108,2
292,16113,2
293,16115,2
294,16163,2
295,16169,2
296,16195,2
297,16071,2
298,18729,0
299,18743,0
300,18825,2
301,19436,2
302,19438,2
303,19440,2
304,19441,2
305,19080,2
306,19602,2
307,19634,2
308,18688,2
309,19655,0
310,19656,0
311,19659,2
312,19688,2
313,18641,2
314,19295,0
315,17747,2
316,17748,2
317,17775,6
318,18326,2
319,18334,2
320,18397,0
321,18434,2
322,18438,2
323,18439,2
324,18456,2
325,18479,2
326,18499,2
327,15417,0
328,15413,0
329,15401,2
330,15338,0
331,13559,0
332,12778,2
333,12797,2
334,12881,2
335,12935,2
336,13675,2
337,13697,2
338,13706,2
339,13717,2
340,13023,2
341,13518,2
342,13804,0
343,13824,2
344,13867,2
345,13901,2
346,14227,6
347,14229,7
348,14127,2
349,14308,2
350,13415,0
351,13411,2
352,13363,0
353,13400,2
354,13337,0
355,13402,0
356,13452,2
357,13457,2
358,10914,2
359,13458,2
360,13464,2
361,13505,5
362,13409,2
363,14956,2
364,19985,2
365,14396,2
366,14647,0
367,14652,0
368,14807,0
369,14830,2
370,14832,0
371,14839,2
372,14840,2
373,15230,0
374,15238,2
375,15256,4
376,15257,2
377,15270,2
378,15278,2
379,15285,0
380,15069,8
381,14398,2
382,14400,2
383,14421,0
384,14458,2
385,14436,2
386,14437,2
387,14525,0
388,14526,2
389,14532,2
390,15037,0
391,15049,2
392,15063,2
393,15066,2
394,14959,0
395,20192,0
396,2252,4
397,2269,2
398,2271,0
399,2369,2
400,2131,0
401,2152,2
402,2422,3
403,2423,5
404,2431,2
405,2678,2
406,2698,2
407,2690,2
408,2470,2
409,2327,0
410,1732,0
411,2283,3
412,2285,2
413,2286,2
414,2297,0
415,2308,3
416,2322,0
417,2323,0
418,2326,0
419,2569,0
420,2574,2
421,2576,4
422,2936,2
423,2946,3
424,2955,2
425,2959,2
426,2966,0
427,2663,0
428,3071,2
429,3072,2
430,3076,2
431,2921,2
432,3101,2
433,3221,0
434,3238,2
435,3243,2
436,3107,2
437,2919,2
438,2578,2
439,2607,2
440,2779,2
441,2780,2
442,2788,2
443,2816,2
444,2852,2
445,2859,2
446,2860,2
447,2863,2
448,2868,2
449,2870,2
450,2873,2
